title,agency,date
Attorney General Koster Files Criminal Charges In Medicaid Fraud Case As Webster County Woman Faces 8 Felony Counts,Missouri Attorney General,
Cocke Co. Woman Charged A 3rd Time With Doctor Shopping,Tennessee Department of Finance & Administration,
Four Individuals Indicted And Arrested For Health Care Fraud,U.S. Attorney,
Kyle Man Charged with Health Care Fraud,U.S. Attorney,
Pine Ridge Woman Charged With Health Care Fraud,U.S. Attorney,
Omnicare to Pay Government $4.19 Million to Resolve False Claims Act Allegations of Kickbacks,U.S. Department of Justice,
Owner of Fake Michigan Psychotherapy Clinic Sentenced for Role in Medicare Fraud Scheme,U.S. Department of Justice,
Davidson Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Doctor Admits Taking Bribes in Test-Referral Scheme with New Jersey Clinical Lab,U.S. Attorney,
Salt Lake City Psychologist Charged With Health Care Fraud In Indictment Returned By Grand Jury,U.S. Attorney,
McComb Resident Pleads Guilty to Abuse of a Vulnerable Person,Mississippi Attorney General,
Registered Nurse Arrested for Depraved Heart Murder of Patient,Mississippi Attorney General,
Davidson Co. Woman Charged With TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
Concord Doctor Pleads Guilty for Role in $27 Million Home Health Care Scam,U.S. Attorney,
United States Settles False Claims Act Lawsuit against Florida Pain Clinic and Its Owner,U.S. Attorney,
Diagnostic Imaging Group to Pay $15.5 Million for Allegedly Submitting False Claims to Federal and State Health Care Programs,U.S. Department of Justice,
AG Gansler: Caregiver Convicted of Assaulting a Vulnerable Adult,Maryland Attorney General,
"Easton Dentist to Pay $400,000 to MassHealth Over Improper Billing for Nursing Home Visits",Massachusetts Attorney General,
Physical Therapist Arrested On Health Care Fraud Charges,U.S. Attorney,
Greenville Resident Going to Prison for Medicaid Fraud,Mississippi Attorney General,
Dickson Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Franklin Co. Woman Eluded Police 7 Months But Is Now Charged With TennCare Fraud,Tennessee Department of Finance & Administration,
Former Medicaid Fraud Analyst Arrested,Texas Attorney General,
Alvarado Pharmacy and Its Owner Ordered To Repay Medicare over $1 Million,U.S. Attorney,
Andrews Woman Sentenced in Health Care Fraud Case,U.S. Attorney,
"Former Newton, Iowa Doctor Pleads Guilty of Health Care Fraud and Illegal Distribution of Controlled Substance",U.S. Attorney,
Local Doctor Sentenced For Making False Statement to Agent,U.S. Attorney,
Endo Pharmaceuticals and Endo Health Solutions to Pay $192.7 Million to Resolve Criminal and Civil Liability Relating to Marketing of Prescription Drug Lidoderm for Unapproved Uses,U.S. Department of Justice,
New Jersey Doctor Who Provided Spa Services Pleads Guilty in Medicare Fraud Scheme,U.S. Department of Justice,
Florida Woman Sentenced to Prison for Medicaid Fraud,Georgia Attorney General,
Monroe Co. Woman Charged with TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Wilson Co. Man Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Atlanta Doctor Sentenced For Defrauding Medicare and IRS,U.S. Attorney,
Houston Physician Arrested in Health Care Fraud Conspiracy,U.S. Attorney,
More Than 20 People Arrested Following Investigations into Widespread Health Care Fraud in D.C. Medicaid Program as Charges Unsealed in Largest Health Care Fraud Takedown in D.C. History,U.S. Attorney,
Physician Arrested for Allegedly Illegally Dispensing Oxycodone and Falsely Billing Medicare in Undercover Probe,U.S. Attorney,
"Attorney General Pam Bondi's Office Announces the Arrest of Mother and Daughter-in-Law Duo for More Than $70,000 of Medicaid Fraud",Florida Attorney General,
Former Office Manager Indicted for Health Care Fraud,Ohio Attorney General,
Former Shelby County Residents Guilty in Health Care Fraud Scheme,U.S. Attorney,
"Monmouth County, N.J., Doctor Admits Stealing $1.1 Million",U.S. Attorney,
Government Intervenes in Lawsuit against Tenet Healthcare Corp. and Georgia Hospital Owned by Health Management Associates Inc. Alleging Payment of Kickbacks,U.S. Department of Justice,
Washington-Based Medical Device Manufacturer to Pay up to $5.25 Million to Settle Allegations of Causing False Billing of Federal Health Care Programs,U.S. Department of Justice,
Twin Falls Woman Sentenced to Prison in Medicaid Fraud Case,Idaho Attorney General,
Dyer Co. Woman Charged with TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Corpus Christi Doctor Convicted in Connection with Fraudulent Health Care Billing Scheme,U.S. Attorney,
Miami Physician Pleads Guilty in Medicare Fraud Scheme,U.S. Attorney,
Three Found Guilty for Roles in $20 Million Health Care Fraud Scheme Involving Bogus Prescriptions for Expensive Anti-Psychotic Drugs,U.S. Attorney,
"Three Medical Groups and A Medical Billing Company Agree To Pay $3,340,979 to Resolve Investigation into Medicare Overbilling Scheme",U.S. Attorney,
Baxter County Woman Convicted In Pill Theft,Arkansas Attorney General,
"Attorney General's Office Announces Arrest of a Crestview Woman for More than $17,000 in Medicaid Fraud",Florida Attorney General,
Mental Health Facility Settles Billing Practices Case with the State,Tennessee Attorney General,
Davidson Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Humphreys Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Two Dyer Co. Women Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
"Two Women Charged With TennCare Fraud Ordered To Repay State - One Of The Women Lives In Mississippi, Was On Tenncare",Tennessee Department of Finance & Administration,
General Conway Announces Indictment of Former Treatment Center Co-Owner,Kentucky Attorney General,
Alton Doctor Pleads Guilty To Health Care Fraud and Illegal Dispensation of Controlled Substances,U.S. Attorney,
Former Lab Executive Sentenced for Tax-Related Crimes,U.S. Attorney,
Kenner Woman Arrested For Stealing From Medicaid Patients,Louisiana Attorney General,
"Former District of Columbia Government Employee Pleads Guilty to Conspiring to Steal About $800,000 in Benefits",U.S. Attorney,
"Walla Walla Man Sentenced To Probation And Ordered To Pay Over $106,000 For Willfully Failing To Pay Child Support",Eastern District of Washington,
"Former Chiropractor, David Lee Killen, Indicted On Health Care Fraud And Aggravated Identity Theft Charges",U.S. Attorney,
Former KC Man Pleads Guilty To Fleeing U.S. To Avoid Paying Child Support - Project Save Our Children,U.S. Attorney,
Local In-Home Healthcare Provider Indicted On Bank Fraud Charges,U.S. Attorney,
Tyler County Woman Guilty of Health Care Fraud,U.S. Attorney,
Omaha Mental Health Provider Pleads Guilty to Stealing Government Funds,Nebraska Attorney General,
Local Physician Indicted on Charges of Health Care Fraud,U.S. Attorney,
Durable Medical Equipment Clinic Owner Sentenced for His Role in $11 Million Health Care Fraud Scheme,U.S. Department of Justice,
A.G. Schneiderman Announces Arrests of Suffolk County Nursing Home Employees and Lawsuit against the Home's Owners Alleging Pattern Of Neglect,New York Attorney General,
Hawkins County Woman Charged With TennCare Fraud,Tennessee Department of Finance & Administration,
"Government Settles False Claims Act Allegations against Kentucky Addiction Clinic, Clinical Lab and Two Doctors for $15.75 Million",U.S. Department of Justice,
Car Repair Shop Owner and His Son Admit To Drug Trafficking and Armed Commercial Burglaries,U.S. Attorney,
Prince Frederick Physician Admits To Illegal Drug Distribution and Health Care Fraud Scheme,U.S. Attorney,
Orange County Speech Therapist Arrested for Medicaid Fraud,Florida Attorney General,
Four Charged With TennCare Fraud In Humphreys Round-Up,Tennessee Department of Finance & Administration,
Two Women Charged With TennCare Fraud In Hawkins Co.,Tennessee Department of Finance & Administration,
Former Hospital CFO Charged with Health Care Fraud,U.S. Attorney,
Houston Man Sentenced in Multi-State Health Care Fraud Scheme,U.S. Attorney,
Salem Pharmacist Sentenced To Two Years in Prison for Health Care Fraud,U.S. Attorney,
"AG Gansler Recovers $20,000 in Settlement with Rite Aid of Maryland",Maryland Attorney General,
Camden County Man Pleads Guilty to Distributing Prescription Narcotics to Undercover Investigator,New Jersey Attorney General,
A.G. Schneiderman Announces Guilty Plea By Long Island Senior Center Aide For Attempting To Steal More Than $10k From An 88-Year-Old Woman In Her Care,New York Attorney General,
Davidson Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
"Lauderdale Co. Woman Charged With TennCare, Food Stamp Fraud",Tennessee Department of Finance & Administration,
Two Women Charged With TennCare Fraud In Lauderdale Co.,Tennessee Department of Finance & Administration,
"Abilene Dentist Sentenced to 18 Months in Federal Prison and Ordered to Pay Nearly $58,000 in Restitution in Medicaid Fraud Scheme",U.S. Attorney,
"Husband, Wife and Business Associate Charged with Health Care Fraud",U.S. Attorney,
Manhattan U.S. Attorney Announces Charges Against Owner Of Bronx Clinic And 23 Other Individuals Involved In Illegal Distribution Of More Than Five Million Oxycodone Pills,U.S. Attorney,
A.G. Schneiderman Announces $250k Settlement With NY Foundling Hospital For Overbilling Medicaid,New York Attorney General,
Davidson Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
New Jersey Doctor Convicted Of Taking Cash Kickbacks For Patient,United States,
"Madison Parish Hospital Administrator, Two Businessmen, Sentenced For Health Care Fraud",U.S. Attorney,
Speech Therapist and Office Manager Charged with Fraud,U.S. Attorney,
A.G. Schneiderman Announces Arrest Of Nursing Home Aide Who Injured A Resident And Failed To Seek Medical Help For Her,New York Attorney General,
Milwaukee Man Sentenced For Medicaid Fraud,Wisconsin Attorney General,
"Federal Jury Convicts Pharmacist, Physician's Office Manager and Three Drug Dealers in ""Pill Mill"" Operation",U.S. Attorney,
Rosebud Woman Charged With False Statements Relating to Health Care Matters and Attempt to Obtain Controlled Substance by Fraud,U.S. Attorney,
Leader of $28.3 Million Medicare Fraud Scheme Pleads Guilty,U.S. Department of Justice,
Governor Cuomo Announces Record-Breaking $851 Million in Medicaid Recoveries,New York Office of Medicaid Inspector General,
Davidson Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Wyoming Medicaid Provider Indicted for Health Care Fraud,Wyoming Attorney General,
Kentwood Pharmacy Owner and Thirteen Additional Employees Face Federal Charges,U.S. Attorney,
"Queens, N.Y., Doctor Sentenced for His Role in $15 Million Medicare Fraud Scheme",U.S. Department of Justice,
Idaho Man Sentenced for Failure to Pay Child Support,U.S. Attorney,
St. Charles Doctor Pleads Guilty To Medicare Fraud,U. S. Attorney,
Physician Practicing in Grass Valley and Yuba City Indicted for Illegal Prescription Practice,U.S. Attorney,
St. Francis Man Charged With False Statements and Fraud,U.S. Attorney,
Three Miami Residents Indicted for Alleged Roles in $190 Million Medicare Fraud Scheme,U.S. Department of Justice,
Medicaid Fraud Arrest Announced,Arkansas Attorney General,
Attorney General Pam Bondi's Office and Other Law Enforcement Agencies Arrest Three Levy County Residents for Medicaid Fraud,Florida Attorney General,
Seven Ohio Oncologists Ordered To Pay $2.6 Million,U.S. Attorney,
Hogsett Announces Charges against Indianapolis Man for Health Care Fraud,U.S.  Attorney,
Kentucky Hospital Agrees to Pay Government $16.5 Million to Settle Allegations of Unnecessary Cardiac Procedures,U.S. Department of Justice,
A.G. Schneiderman Announces Settlement With EmblemHealth For Failing To Offer Continuation Coverage To Young Adults And Wrongfully Denying Claims For Medical Treatment,New York Attorney General,
Saint Joseph London Hospital to Pay $16.5 Million to Settle False Claims Act Allegations of Unnecessary Heart Procedures,U.S. Attorney,
Scarborough Man Sentenced to 9 Years on Drug and Health Care Fraud Charges,U.S. Attorney,
Patient Recruiter Pleads Guilty in Connection With $13 Million Health Care Fraud Scheme,U.S. Department of Justice,
Beloit Woman Sentenced for Medicaid Fraud,Wisconsin Attorney General,
Illinois Hospice Executive Charged with Federal Health Care Fraud for Allegedly Falsely Elevating Level of Patients' Care,U.S. Attorney,
Medicare Fraud Strike Force Set Record Numbers for Health Care Fraud Prosecutions,U.S. Department of Justice,
"Municipality of Anchorage Employee Sentenced to One Year in Jail for Fraudulently Billing Medicaid $64,665.47",Alaska Attorney General,
Craighead County Woman Arrested For Medicaid Fraud,Arkansas Attorney General,
A.G. Schneiderman Announces Arrest Of Doctor Who Illegally Sold Prescriptions,New York Attorney General,
Claiborne Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
"Pharmacist Admits Multiple Sales Of Oxycodone Without A Prescription, Agrees To Forfeit $1.5 Million",U.S. Attorney,
"Solon Couple Indicted For $750,000 Health Care Fraud",U.S. Attorney,
Disbarred Attorney Pleads Guilty for Role in $28.3 Million Medicare Fraud Scheme,U.S. Department of Justice,
Home Health Agency Owner Sentenced for Role in $11 Million Detroit Medicare Fraud Scheme,U.S. Department of Justice,
Tennessee and Virginia Orthopedic Clinics to Pay $1.85 Million to Settle Allegations of Billing Medicare for Reimported Products,U.S. Department of Justice,
Owners of Durable Medical Equipment Companies Sentenced To 54 Months in Prison for Their Roles in a Multi-Million Dollar Health Care Fraud Scheme,U.S. Attorney,
Home Health Agency Owner and Director of Nursing Indicted,U.S. Department of Justice,
Owner of Houston Medical Equipment Companies Indicted for $3.4 Million Medicare Fraud Scheme,U.S. Department of Justice,
"Millcreek Township School District Agrees to Pay Government $350,000 to Resolve Allegation of Improper Medicaid Reimbursement",U.S. Attorney,
"Marysville Nurse Indicted in $200,000 Medicaid Fraud Scheme",Ohio Attorney General,
Sumner Co. Woman Charged With Doctor Shopping,Tennessee Department of Finance & Administration,
King County woman sentenced in Medicaid Fraud case,Washington Attorney General,
Idaho Man Found Guilty Of Failure to Pay Legal Child Support,U.S. Attorney,
Former Owners of Murfreesboro Ambulance Service Sentenced To Federal Prison for Defrauding Medicare,U.S. Attorney,
Kadoka Man Sentenced For Destruction of Government Property,U.S. Attorney,
Miami Patient Recruiter Pleads Guilty for Role in $190 Million Medicare Fraud Scheme,U.S. Department of Justice,
Nationwide Contract Therapy Providers to Pay $30 Million to Resolve False Claims Act Allegations,U.S. Department of Justice,
Manhattan Physician Pleads Guilty To Unlawfully Prescribing Prescription Drugs,U.S. Attorney,
"Wilson County woman ordered to repay $50,000 for Medicaid Fraud",Kansas Attorney General,
A.G. Schneiderman Announces Conviction Of Rochester Man Who Earned More Than $115k Posing As Optometrist And Ophthalmic Dispenser,New York Attorney General,
Cocke County Woman Charged 2nd Time With TennCare Fraud,Tennessee Department of Finance & Administration,
Brotherly Love Ambulance EMT Pleads Guilty to Health Care Fraud Scheme,U.S. Attorney,
A.G. Schneiderman Announces Settlement With Health Care Insurer For Wrongfully Denying Mental Health Treatment Claims,New York Attorney General,
Attorney General Bondi's Medicaid Fraud Control Unit Announces Arrest of Gainesville Woman,Florida Attorney General,
A.G. Schneiderman Announces Guilty Plea Of Nurse Who Abused Elderly Patient,New York Attorney General,
San Fernando Valley Woman Pleads Guilty to Federal Charges in $25 Million Health Care Fraud Case,U.S. Attorney,
United States Settles Action against New York City Department of Education for Submitting False Claims to Medicaid for Psychological Services to Special Education Students,U.S. Attorney,
Government Intervenes In Lawsuits against Health Management Associates Inc. Hospital Chain Alleging Unnecessary Inpatient Admissions and Payment of Kickbacks,U.S. Department of Justice,
A.G. Schneiderman Announces Settlement With Health Insurer Over Excessive Copays For Customers In Rochester Area,New York Attorney General,
Hardin Co. Woman Charged 2nd Time with TennCare Fraud,Tennessee Department of Finance and Administration,
Centreville Woman Sentenced For Health Care Fraud,U.S. Attorney,
McAllen Area Ambulance Company Owner Charged with Multiple Health Care Fraud Allegations,U.S. Attorney,
Former HealthEssentials Solutions Inc. Executives To Pay More Than $1 Million To Resolve Allegations Of Submitting False Claims To Federal Health Care Program,U.S. Department of Justice,
Attorney General Bondi's Office Announces Medicaid Fraud Conviction,Florida Attorney General,
Attorney General Pam Bondi's Office Arrests Two Marion County Residents for Battery of Person 65 Years or Older,Florida Attorney General,
Caldwell Couple Sentenced in Medicaid Fraud,Idaho Attorney General,
Schuette Announces Felony Charges Against 11 In-Home Care Workers for Medicaid Abuse,Michigan Attorney General,
A.G. Schneiderman Announces $40m Settlement Resolving Fraud Allegations Against Health Care Giant Carefusion,New York Attorney General,
Brotherly Love Ambulance EMT Charged In Health Care Fraud Scheme,U.S. Attorney,
"Pharmacist Charged With Paying More Than $50,000 in Kickbacks to Doctor for Prescription Referrals",U.S. Attorney,
Southern California Doctor Sentenced to over 3 Years in Prison for Medicare Fraud Scheme,U.S. Attorney,
CareFusion to Pay the Government $40.1 Million to Resolve Allegations That Include More Than $11 Million in Kickbacks to One Doctor,U.S. Department of Justice,
Justice Department Collects More Than $8 Billion in Civil and Criminal Cases in Fiscal Year 2013,U.S. Department of Justice,
A.G. Schneiderman Announces $2.5 M Settlement with Rochester Home Health Agency for Defrauding Medicaid,New York Attorney General,
"CareFusion Corp. to pay Washington $229,440 to resolve Medicaid fraud allegations",Washington Attorney General,
"Manhattan U.S. Attorney Simultaneously Files Additional Healthcare Fraud Claims Against Novartis Pharmaceuticals Corp. And Settles Lawsuit against Bioscrip, Inc., In Connection With a Multimillion-Dollar Kickback Scheme Involving a Prescription Drug",U.S. Attorney,
"Attorney General's Office Arrests Naples Woman for More Than $60,000 in Medicaid Fraud",Florida Attorney General,
"Independence man ordered to repay $13,000 for Medicaid Fraud",Kansas Attorney General,
Former Clinic Owner Pleads Guilty To $3.4 Million Medicaid Fraud Scheme,U.S. Attorney,
Man Convicted at Trial for Role in Nearly $3 Million Health Care Fraud Scheme Involving the Operation of Euless Healthcare Corp. Sentenced to 72 Months in Federal Prison,U.S. Attorney,
United States Department Of Justice And The State Of Washington Announce Successful Health Care Fraud Settlement With Dr. Abhijit Deshpande And Pinnacle Health Care,U.S. Attorney: Eastern District of Washington,
Medical Clinic Owner and Other Patient Recruiters Plead Guilty in Miami for Roles in $8 Million Health Care Fraud Scheme,U.S. Department of Justice,
Medical Clinic Owner Pleads Guilty in Miami for Role in Multiple Health Care Fraud Schemes Totaling Over $20 Million,U.S. Department of Justice,
United States Government Settles False Claims Act Allegations against Florida Vein Clinic andIts Owner,U.S. Department of Justice,
A.G. Schneiderman Announces Two-Year Prison Term For Licensed Practical Nurse In NYC Home Care Scam,New York Attorney General,
Texas Attorney General's Office Secures $25 Million Agreement with Drug Manufacturer over Medicaid Fraud Allegations,Texas Attorney General,
Doctor Admits Taking Bribes in Test-Referrals Scheme with New Jersey Clinical Lab,U.S. Attorney,
Medical Center Agrees To $2 Million Settlement of Voluntary Disclosure,U.S. Attorney,
"Total Care Services to Pay $187,500 to Resolve False Claims Allegations Company, a D.C. Medicaid Provider, Was Accused of Billing for Services without Proper Documentation",U.S. Attorney,
Home Health Care Company Pays $500K in Fraud Settlement,Maryland Attorney General,
AG Gansler Secures Settlement from Baltimore County Dentist - Owner of Baltimore city practice must repay $25K to Medicaid program,Maryland Attorney General,
State Comptroller's Office Seeks to Bar Three New Jersey Health Care Facilities from the Medicaid Program,New Jersey Office of State Comptroller,
Oklahoma City Counselor Sentenced to Prison for Medicaid Fraud,Oklahoma Attorney General,
Colorado Health Care Organization and One of Its Montana Hospitals to Pay $3.85 Million for Allegedly Providing Financial Benefits to Referring Physicians and Physician Groups,U.S. Department of Justice,
Marshall Co. Woman Charged with TennCare Fraud,Tennessee Department of Finance & Administration,
Abbott Laboratories Pays U.S. $5.475 Million to Settle Claims That Company Paid Kickbacks to Physicians,U.S. Department of Justice,
Rural/Metro to Pay $2.8 Million to Resolve False Claims Allegations,U.S. Attorney,
Anesthesiologist Pleads Guilty To Unlawfully Distributing Oxycodone,U.S. Attorney,
Caregiver Charged With Medicaid Fraud,Vermont Attorney General,
Two Miami Women Sentenced to Ten Years in Prison for Conspiring to Pay Healthcare Kickbacks,U.S. Attorney,
Local Doctor Pleads Guilty in Misbranding Drugs Case,U.S. Attorney,
Pair Sentenced On Health Care Related False Statement Charges,U.S. Attorney,
"Genzyme Corp. to Pay $22.28 Million to Resolve False Claims Allegations Related to ""Slurry"" Used in Patients",U.S. Department of Justice,
Justice Department Recovers $3.8 Billion from False Claims Act Cases in Fiscal Year 2013,U.S. Department of Justice,
Patient Recruiter and Therapy Staffing Company Owner Sentenced for Roles in $7 Million Health Care Fraud Scheme,U.S. Department of Justice,
Unlicensed Miami Clinic Nurse Convicted at Trial and Sentenced for Role in $11 Million HIV Infusion Fraud Scheme,U.S. Department of Justice,
Tipton Co. Woman Charged with TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
Health Care Clinic Owner Sentenced for Role in $7 Million Medicare Fraud Scheme,U.S. Department of Justice,
Tennessee Cardiologist to Pay $1.15 Million to Settle Allegations That He Performed Medically Unnecessary Heart Procedures,U.S. Department of Justice,
"Attorney General Bondi Announces Arrest of Miami Woman for More Than $395,000 in Medicaid Fraud",Florida Attorney General,
Warren Co. Woman Charged With TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
New Jersey Doctor Admits Taking Bribes in Test-Referrals Scheme with New Jersey Clinical Lab,U.S. Attorney,
Two Area Women Head to Federal Prison in Home Health Services Conspiracy,U.S. Attorney,
South Florida Man Pleads Guilty for Role in $10.5 Million Medicare Fraud Scheme,U.S. Department of Justice,
Little Rock Woman Convicted Of Medicaid Fraud,Arkansas Attorney General,
Seven Individuals Charged With Medicaid Fraud Related To In Home/Community-Based And Personal Care Services That Were Not Provided,Vermont Attorney General,
Lake Charles Doctor Sentenced To 12 Months In Prison For Health Care Fraud,U.S. Attorney,
"Morris County, N.J., Doctor Admits Taking Cash Kickbacks for Patient Referrals",U.S. Attorney,
New Jersey Ophthalmologist Admits Lying To Federal Agents during Fraud Investigation about Reuse of Lucentis Vials,U.S. Attorney,
Houston Doctor Indicted for Her Alleged Role in $158 Million Medicare Fraud Scheme,U.S. Department of Justice,
A.G. Schneiderman Announces Settlement With North Country Medicaid Provider,New York Attorney General,
Rosebud Woman Charged With Acquiring Controlled Substances by Fraud and Theft In Connection With Healthcare,U.S. Attorney,
Attorney General Tom Horne Announces Conviction of Woman Who Faked Leukemia,Arizona Attorney General,
Davidson Co. Woman Charged With TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
"Manhattan U.S. Attorney, FBI, and IRS Announce Charges against Pharmacy Owner In Multimillion-Dollar Medicare/Medicaid Fraud Scheme",U.S. Attorney,
"Owner Of Bluegrass Women's Healthcare In Elizabethtown Ordered To Pay Victims $50,663.31 For Misbranding",U.S. Attorney,
Medicaid Fraud Control Unit Arrests Man Impersonating Mental Health Professional,Louisiana Attorney General,
Three In Dyer County Charged With TennCare Fraud,Tennessee Department of Finance & Administration,
Doctor Pleads Guilty to Tax Offense Related to Health Care Fraud Scheme involving People Recruited from 'Skid Row',U.S. Attorney,
Loxahatchee Pair Plead Guilty to Government Benefit Fraud Charges,U.S. Attorney,
Therapist Pleads Guilty in Miami for His Role in $63 Million Health Care Fraud Scheme,U.S. Department of Justice,
Two Patient Recruiters for Miami Home Health Companies Sentenced for Roles in $48 Million Health Care Fraud Scheme,U.S. Department of Justice,
Baton Rouge Optometrist Indicted on Medicaid Fraud Charges,Louisiana Attorney General,
Cannon Co. Woman Arrested After Months On The Run From TennCare Fraud Charges,Tennessee Department of Finance & Administration,
King County woman enters guilty plea in Medicaid Fraud case ; Billed Medicaid for four months after client's death,Washington State Office of the Attorney General,
"Attorney General Bondi's Office Announces Arrest of Lake County Couple for Nearly $80,000 Medicaid Fraud",Florida Office of the Attorney General,
Blount County Woman Charged With TennCare Fraud,Tennessee Department of Finance & Administration,
Wanblee Man Pleads Not Guilty To Making False Statements to Obtain Controlled Substances,U.S. Attorney,
Former Doctor Sentenced To Home Detention for Health Care Fraud Convictions,U.S. Attorney,
Government Intervenes in False Claims Lawsuit against IPC the Hospitalist Co. Inc. Alleging Overbilling of Physician Services,U.S. Department of Justice,
"Operators of Middlesex County Medical Supply Store Sentenced to State Prison for Defrauding Medicaid Out of More Than $150,000",New Jersey Attorney General,
Meigs County Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Adminstration,
Attorney General J.B. Van Hollen announced today that a Beloit woman has been convicted of Medicaid fraud.,Wisconsin Attorney General,
Man Pleads Guilty To Non Payment of Child Support Obligation,U.S. Attorney,
Former Pharmacist Ordered to Pay More than $2 Million,U.S. Attorney,
Manhattan U.S. Attorney and FBI Assistant Director-In-Charge Announce Health Care Fraud Charges Against Current and Former Russian Diplomats and Their Spouses,U.S. Attorney,
New Jersey Gastroenterologist Admits Taking Cash Kickbacks for Patient Referrals,U.S. Attorney,
"Owner of DTS Medical Supply Company in Devine, TX, And Two Employees Charged In Connection With $3.5 Million Health Care Fraud Scheme",U.S. Attorney,
20 Detroit-area Residents Charged in Medicare Fraud Strike Force Takedown for Approximately $34 Million in False Billing,U.S. Department of Justice,
"A.G. Schneiderman, State Comptroller DiNapoli & DOI Commissioner Gill Hearn Announce Arrest of Not-For-Profit Executive in Six-Year Theft Scheme",New York Attorney General,
"Louisville Physician Charged With Multiple Counts of Unlawful Distribution of Controlled Substances, Healthcare Fraud and Money Laundering",U.S. Attorney,
Three Defendants Convicted In $3.2M Medicare Fraud Scheme,U.S. Attorney,
Miami Home Health Company Owner and Recruiter Sentenced for Role in $48 Million Health Care Fraud Scheme,U.S. Department of Justice,
Three Patient Recruiters for Miami Home Health Company Plead Guilty for Roles in $48 Million Fraud Scheme,U.S. Department of Justice,
DeKalb Co. Man Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Warren Co. Woman Charged With TennCare Drug Fraud,Tennessee Department of Finance & Administration,
Former Employee of Exeter Hospital Sentenced to 39 Years in Connection with Widespread Hepatitis C Outbreak,U.S. Attorney,
Lymphedema & Wound Care Institute Settle False Claims Act Allegations,U.S. Attorney,
CVS' Caremark Will Pay $4.25 Million for Allegedly Denying Medicaid Claims for Reimbursement of Prescription Drug Costs,U.S. Department of Justice,
Health Care Clinic Owners Sentenced for Role in $8 Million Health Care Fraud Scheme,U.S. Department of Justice,
Owner of Jackson Eye Clinic Arrested for Medicaid Fraud,Mississippi Attorney General,
Former Health Management Associates Executive Indicted for Obstruction-Related Offense,U.S. Attorney,
"Two Brockton Residents Plead Guilty to Defrauding $107,000 From State's Medicaid Program",Massachusetts Attorney General,
"Mother and son plead guilty to stealing $17,696 from state healthcare programs",Washington Attorney General,
$1.2 Million Settlement Of Civil Health Care Fraud Case,U.S. Attorney,
Former Durable Medical Equipment Company Owner Sentenced for Defrauding Medicare,U.S. Attorney,
Metro Atlanta Dentist Pleads Guilty to Fraudulently Billing Georgia Medicaid over $2 Million,Georgia Attorney General,
Charlotte Jury Finds Former Owner of Mental Health Clinic Guilty Of Defrauding Medicaid Using Stolen Identities of Children and Clinicians,U.S. Attorney,
"Prominent Nashville, Tennessee Pediatrician and Former Owner of Centennial Pediatrics Pleads Guilty To Health Care Fraud",U.S. Attorney,
Attorney General Bondi's Office Arrests Lee County Man on Medicaid Fraud Charges,Florida Attorney General,
Registered Nurse Charged with Claiming to Treat Deceased Medicaid Patient,Georgia Attorney General,
Claiborne Co. Woman Charged With TennCare Fraud,Tennessee Department of Finance & Administration,
"Arkansas Woman Pleads Guilty To Million-Dollar Health Care Fraud, Money Laundering Scheme",U.S. Attorney,
Two New York Doctors Admit Taking Bribes in Test-Referrals Scheme with New Jersey Clinical Lab,U.S. Attorney,
Durable Medical Equipment Clinic Owner Pleads Guilty in Miami for Role in $11 Million Health Care Fraud Scheme,U.S. Department of Justice,
Vantage Oncology LLC to Pay More Than $2.08 Million for False Medicare Claims for Radiation Oncology Services,U.S. Department of Justice,
Attorney General Gansler Secures Settlement with Salisbury Periodontist,Maryland Attorney General,
"Federal Jury Convicts Brunswick, Georgia Woman in $4 Million Medicaid Fraud Scheme",U.S. Attorney,
"Prominent Tri-State Cardiologist Sentenced To 78 Months in Prison for Record, $19 Million Billing Fraud Scheme, Exposing Patients to Unnecessary Medical Treatment",U.S. Attorney,
Attorney General Recovers $238 Million from Pharmaceutical Companies Engaged in Fraudulent Drug-Pricing Scheme,Louisiana Attorney General,
Davidson Co. Woman Charged With TennCare Doctor Shopping,Tennessee Department of Finance & Administration,
Rutherford Co. Man Charged With TennCare Fraud,Tennessee Department of Finance & Administration,
